legal_status_norm,record_count
Сын поселенца,249
Дочь поселенца,237
Свободного состояния,142
Сын поселки,130
Дочь поселки,126
Дочь ссыльнокаторжной,111
Сын ссыльнокаторжного,108
Дочь ссыльнокаторжного,96
Сын ссыльнокаторжной,95
Сын крестьянина из ссыльных,81
Дочь крестьянина из ссыльных,77
Сын крестьянки из ссыльных,30
Дочь крестьянки из ссыльных,27
Сын каторжного,22
[blank],16
Дочь каторжного,15
Поселенец,11
Сын каторжной,8
Ссыльнокаторжный,8
Дочь каторжной,3
Дочь солдатки,2
Сын надворного советника,2
Поселка,2
Дочь рядового,1
Сын рядового,1
Дочь отставного рядового,1
Сын солдатки,1
Дочь подполковника,1
Сын подполковника,1
Дочь надворного советника,1
Крестьянин из ссыльных,1
