classification,origin_place_norm,record_count
blank,,838
exceptional_non_administrative,На Сахалине,1254
exceptional_non_administrative,Усть-Кара,34
exceptional_non_administrative,Бродяга,22
exceptional_non_administrative,Сибирь,3
exceptional_non_administrative,Не помнит,1
foreign_state,Бухарский эмират,1
foreign_state,Китай,1
foreign_state,Румынское королевство,1
foreign_subjecthood,Прусский подданный,6
foreign_subjecthood,Австрийский подданный,2
foreign_subjecthood,Персидский подданный,2
foreign_subjecthood,Прусская подданная,1
foreign_subjecthood,Турецкий подданный,1
imperial_territory,Великое княжество Финляндское,25
imperial_territory,Царство Польское,6
transit,В пути,113
